Country,Song Name,Popularity,Time Signature,Duration MS,Tempo,Valence,Liveness,Instrumentalness,Acousticness,Speechiness,Loudness,Key,Mode,Energy,Danceability
1,Sesh Gaan ??? ??? Sumon Aurthohin Aushomapto-1 Original Track G Series World Music.wav,10,3,253098,157.486,0.447,0.582,5.73e-05,0.413,0.0594,-9.446,0,0,0.494,0.595
1,Arbovirus - Omanush.wav,13,4,251658,92.507,0.285,0.315,0.00658,0.000243,0.0598,-7.111,10,1,0.902,0.475
1,Black-Miththa.wav,13,4,235915,78.087,0.378,0.213,0.0,0.0962,0.0536,-13.482,10,1,0.355,0.289
1,Anmone - Aushomapto - Aurthohin.wav,14,4,327912,164.991,0.425,0.0901,1.53e-05,0.00375,0.0312,-7.327,1,1,0.667,0.526
1,Obocheton By Nemesis Album Agontuk 2 Official lyrical Video.wav,15,4,299677,107.951,0.363,0.0674,0.138,7.44e-06,0.0288,-7.334,7,1,0.752,0.472
1,Abar Black Album Abar Bangla Band Song Official Art Track.wav,15,4,220543,178.116,0.543,0.164,0.000221,0.0124,0.0818,-5.232,1,1,0.89,0.323
1,Jare Ja Ure Ja Pakhi_Hasan (Ark).wav,16,3,313293,142.629,0.469,0.0377,0.0,0.195,0.0279,-8.86,1,0,0.453,0.565
1,Sraboner meghgulo jaro holo akashe ???????? ??????? ???? ??? ????? Different touch.wav,16,4,247034,153.737,0.801,0.646,0.000316,0.745,0.0457,-2.299,10,0,0.893,0.445
1,BISSHOY (???????) - Mechanix Official Music Video.wav,16,4,312570,126.145,0.0724,0.121,0.00206,0.0864,0.0308,-6.731,0,0,0.427,0.484
1,Manush Pakhir Gaan Black Album Abar Official Lyrical Video.wav,17,4,246271,113.984,0.291,0.0642,3.75e-05,0.0303,0.0295,-5.993,8,1,0.642,0.58
1,Jadur Shohor By Chirkutt Album Jadur Shohor Official lyrical Video.wav,17,3,376488,143.983,0.401,0.226,0.0,0.106,0.0411,-6.516,8,1,0.65,0.543
1,Meghdol Roder Fota Shohorbondi (2009) Remastered.wav,17,3,263268,139.952,0.262,0.117,4.62e-06,0.552,0.0279,-9.437,11,1,0.26,0.48
1,Jodi Kono Din - Aushomapto - Aurthohin.wav,18,4,349042,139.086,0.42,0.105,1.59e-06,0.832,0.0361,-13.453,1,1,0.263,0.401
