Country,Song Name,Popularity,Time Signature,Duration MS,Tempo,Valence,Liveness,Instrumentalness,Acousticness,Speechiness,Loudness,Key,Mode,Energy,Danceability
1,Abar Black Album Abar Bangla Band Song Official Art Track.wav,15.0,4.0,220543.0,178.116,0.543,0.164,0.000221,0.0124,0.0818,-5.232,1.0,1.0,0.89,0.323
1,Abar Hashimukh - Shironamhin [Lyrics Video].wav,25.0,3.0,336500.0,155.853,0.302,0.257,2.55e-05,0.165,0.0418,-7.829,2.0,0.0,0.604,0.383
1,Amar Prithibi Black Album Amar Prithibi Official lLyrical Video.wav,25.0,4.0,251844.0,159.316,0.462,0.0998,0.000808,0.00369,0.0333,-12.894,1.0,1.0,0.432,0.453
1,Anmone - Aushomapto - Aurthohin.wav,14.0,4.0,327912.0,164.991,0.425,0.0901,1.53e-05,0.00375,0.0312,-7.327,1.0,1.0,0.667,0.526
1,Anmone 2 - Aushomapto 2 - Aurthohin.wav,38.0,4.0,305862.0,88.734,0.372,0.107,1.16e-06,0.00367,0.0844,-5.781,3.0,1.0,0.897,0.313
1,Arbovirus - Hariye Jao (lyrics) । অর্বোভাইরাস - হারিয়ে যাও (লিরিক্স) । Arvovirus songs.wav,31.0,4.0,351039.0,179.786,0.301,0.159,4.98e-06,0.134,0.0455,-7.231,1.0,1.0,0.756,0.36
1,Arbovirus - Omanush.wav,13.0,4.0,251658.0,92.507,0.285,0.315,0.00658,0.000243,0.0598,-7.111,10.0,1.0,0.902,0.475
1,Arbovirus - School (Official Music Video).wav,27.0,4.0,259297.0,124.058,0.431,0.121,0,0.0171,0.082,-5.23,1.0,1.0,0.767,0.499
1,Arnob-She je boshe ache.wav,37.0,4.0,210051.0,129.971,0.295,0.109,0.000219,0.444,0.0346,-21.307,4.0,1.0,0.252,0.684
1,Aushomapto অসমাপ্ত Aurthohin Aushomapto-1 Original Track @gseriesworldmusic3801.wav,25.0,4.0,299259.0,76.999,0.192,0.161,0,0.00751,0.0344,-8.227,8.0,1.0,0.546,0.516
1,Bhalobasha Baki ভালোবাসা বাকি Popeye Bangladesh.wav,35.0,4.0,311250.0,145.907,0.377,0.289,0,0.711,0.0317,-10.849,6.0,1.0,0.225,0.662
1,Bhoboghurey Cryptic Fate Band Album Shrestho Official lyrical Video.wav,9.0,4.0,373563.0,161.216,0.4,0.207,0.00313,0.131,0.0571,-10.253,0.0,0.0,0.932,0.414
1,BISSHOY (বিস্ময়) - Mechanix Official Music Video.wav,16.0,4.0,312570.0,126.145,0.0724,0.121,0.00206,0.0864,0.0308,-6.731,0.0,0.0,0.427,0.484
1,Black-Miththa.wav,12.0,4.0,235915.0,78.087,0.378,0.213,0,0.0962,0.0536,-13.482,10.0,1.0,0.355,0.289
1,Blue Jeans - Kodom Artwork Video.wav,41.0,4.0,247000.0,105.006,0.445,0.296,0,0.17,0.0338,-5.022,7.0,1.0,0.827,0.535
1,Blues & Rod Black All Time Hit Bangla Band Song Official Lyrical Video.wav,0.0,4.0,302393.0,95.7,0.525,0.135,0.000347,0.000285,0.0481,-7.313,1.0,0.0,0.694,0.512
1,Cafeteria ক্যাফেটেরিয়া Shironamhin Ichche Ghuri Original Track.wav,24.0,4.0,259042.0,90.058,0.316,0.0937,0,0.356,0.0252,-7.443,5.0,1.0,0.517,0.567
1,Chaitei Paro by Aurthohin Lyrics.wav,18.0,4.0,245388.0,159.962,0.719,0.275,6.22e-06,0.000193,0.0584,-5.563,7.0,1.0,0.913,0.49
1,Chena Jogot চেনা জগৎ Vibe Chena Jogot Original Track @gseriesworldmusic3801.wav,18.0,3.0,267912.0,194.622,0.734,0.264,0.000645,3e-05,0.109,-6.642,7.0,0.0,0.925,0.196
1,Chera Shopno(Aurthohin).wav,8.0,4.0,298887.0,74.981,0.277,0.0995,0,0.173,0.0447,-8.973,6.0,0.0,0.465,0.648
1,Chile Kothar Shepai চিলে কোঠার সেপাই Artcell Agontuk 2 Original Track @G Series World Music.wav,20.0,4.0,387250.0,132.13,0.345,0.308,0.0011,0.000674,0.127,-11.06,7.0,0.0,0.922,0.238
1,Dhrubosshor ধ্রুবস্বর Mechanix Rock 202 Original Track @G Series World Music.wav,24.0,4.0,407000.0,146.9,0.432,0.11,1.76e-06,0.0278,0.0422,-11.484,2.0,0.0,0.669,0.247
1,Dhushor Shomoy ধূসর সময় Artcell Oniket Prantor Bangla Band Song @G Series World Music.wav,24.0,4.0,407000.0,146.9,0.432,0.11,1.76e-06,0.0278,0.0422,-11.484,2.0,0.0,0.669,0.247
1,Dukkho Bilash দুঃখ বিলাশ Artcell Anushilon Bangla New Song Official Lyrical Video.wav,32.0,4.0,431306.0,135.834,0.34,0.0761,0.000103,0.0401,0.0334,-11.9,2.0,0.0,0.388,0.303
1,E Hawa Meghdol X Hawa Film Aluminium Er Dana.wav,43.0,3.0,354331.0,126.643,0.188,0.113,0.0128,0.815,0.0342,-14.925,8.0,1.0,0.192,0.271
1,Eka beche thakte shekho priyo (Original song) একা বেঁচে থাকতে শেখো প্রিয় । Aseer Arman । আসির আরমান.wav,32.0,4.0,394000.0,72.522,0.386,0.11,0,0.878,0.0334,-11.187,3.0,1.0,0.224,0.338
1,Encore - Srotoshinni Official Audio.wav,36.0,4.0,263079.0,130.154,0.275,0.279,0,0.0291,0.0341,-6.373,7.0,1.0,0.629,0.487
1,Eto Kosto Keno Valobashay Hasan - Lyrics Play © Ron Razib.wav,9.0,4.0,268710.0,126.211,0.33,0.0673,0,0.518,0.0316,-6.916,1.0,1.0,0.522,0.574
1,Ghum - Odd Signature [Official].wav,42.0,3.0,229721.0,144.963,0.72,0.331,0,0.715,0.0321,-17.316,6.0,1.0,0.251,0.626
1,Indalo - ISD(Remastered).wav,30.0,4.0,239587.0,85.959,0.122,0.108,0.531,0.823,0.0265,-13.172,5.0,1.0,0.341,0.543
1,Jadur Shohor By Chirkutt Album Jadur Shohor Official lyrical Video.wav,17.0,3.0,376488.0,143.983,0.401,0.226,0,0.106,0.0411,-6.516,8.0,1.0,0.65,0.543
1,Jare Ja Ure Ja Pakhi_Hasan (Ark).wav,16.0,3.0,313293.0,142.629,0.469,0.0377,0,0.195,0.0279,-8.86,1.0,0.0,0.453,0.565
1,Jodi Kono Din - Aushomapto - Aurthohin.wav,18.0,4.0,349042.0,139.086,0.42,0.105,1.59e-06,0.832,0.0361,-13.453,1.0,1.0,0.263,0.401
1,Jon Kabir - Moho Vertical Lyric Video.wav,33.0,4.0,180551.0,92.014,0.151,0.0605,0.0174,0.0811,0.0267,-8.003,9.0,1.0,0.607,0.512
1,Maa James LYRICS.wav,22.0,4.0,287560.0,132.031,0.294,0.413,0,0.212,0.0263,-4.373,2.0,1.0,0.689,0.621
1,Manush Pakhir Gaan Black Album Abar Official Lyrical Video.wav,17.0,4.0,246271.0,113.984,0.291,0.0642,3.75e-05,0.0303,0.0295,-5.993,8.0,1.0,0.642,0.58
1,Meghdol Esho Amar Shohore Aluminium Er Dana Official Video.wav,31.0,4.0,318500.0,127.885,0.125,0.0967,0.0746,0.78,0.0357,-16.622,8.0,0.0,0.148,0.652
1,Meghdol Roder Fota Shohorbondi (2009) Remastered.wav,8.0,3.0,263268.0,139.952,0.262,0.117,4.62e-06,0.552,0.0279,-9.437,11.0,1.0,0.26,0.48
1,More jabo re more jabo Chirkut Sumi Lyrics Band Song Lyrics.wav,10.0,4.0,378485.0,125.952,0.455,0.141,4.69e-06,0.401,0.0315,-8.75,11.0,1.0,0.548,0.666
1,Neela(নীলা) By Miles Lyrical Video Song.wav,30.0,4.0,297773.0,121.716,0.621,0.875,0,0.109,0.0764,-9.643,9.0,0.0,0.823,0.49
1,Nemesis - Gonojowar Official Audio.wav,27.0,3.0,345964.0,100.169,0.375,0.0699,0.172,0.00492,0.0649,-5.463,1.0,1.0,0.878,0.289
1,Nemesis - Kobe Official Music Video.wav,33.0,3.0,253888.0,138.054,0.608,0.058,5.3e-05,0.013,0.0435,-4.83,10.0,1.0,0.749,0.514
1,Nemesis - Nirbashon Official Audio.wav,22.0,4.0,396288.0,152.136,0.694,0.0519,0,0.0322,0.0377,-4.99,8.0,1.0,0.792,0.554
1,Nirban - Meghdol (Lyric Video).wav,21.0,3.0,220600.0,126.19,0.356,0.175,3.77e-05,0.666,0.0323,-11.799,4.0,1.0,0.297,0.618
1,Niyoti (নিয়তি) - Mechanix Official Music Video.wav,10.0,4.0,547523.0,113.37,0.189,0.0927,0.0086,0.00326,0.0358,-15.462,8.0,0.0,0.412,0.346
1,Obocheton By Nemesis Album Agontuk 2 Official lyrical Video.wav,15.0,4.0,299677.0,107.951,0.363,0.0674,0.138,7.44e-06,0.0288,-7.334,7.0,1.0,0.752,0.472
1,Obosh Onuvutir Deyal অবশ অনুভুতির দেয়াল Artcell Onno Shomoy Original Track.wav,19.0,4.0,408346.0,89.804,0.369,0.158,0,0.0513,0.0304,-6.26,6.0,1.0,0.682,0.483
1,Oniket Prantor অনিকেত প্রান্তর Artcell Bangla New Band Song Official Lyrical Video.wav,30.0,4.0,980976.0,137.917,0.495,0.0994,0.00381,0.0409,0.0943,-5.884,10.0,1.0,0.917,0.5
1,Opekkha ViKiNGS featuring RUN OUT Studio Version Laser Vision.wav,29.0,4.0,349936.0,175.887,0.447,0.115,0.00012,0.000371,0.0357,-9.139,1.0,0.0,0.701,0.455
1,Oporajeyo by Mechanix (Official Lyric Video).wav,6.0,4.0,356357.0,145.956,0.287,0.115,0.00761,4.07e-05,0.0664,-5.845,8.0,1.0,0.929,0.331
1,Popeye (Bangladesh) - Bishonno Shundor (বিষণ্ণ সুন্দর) Official Lyrics Video.wav,35.0,3.0,354504.0,114.94,0.196,0.107,0,0.387,0.0265,-7.501,11.0,1.0,0.424,0.623
1,Poth Chola পথ চলা Artcell Band Album Onnosomoy Bangla New Song Official Lyrical Video.wav,25.0,4.0,421953.0,159.646,0.626,0.114,4.89e-06,0.534,0.0461,-5.827,6.0,1.0,0.734,0.438
1,Protibad Cryptic Fate Band Album Shrestho Official lyrical Video.wav,10.0,4.0,292200.0,134.384,0.304,0.152,2.03e-06,0.0961,0.0288,-16.001,11.0,1.0,0.283,0.397
1,Sei tumi keno eto ochena hole Ayub Bachchu LRB সেই তুমি কেন এতো অচেনা হলে.wav,34.0,4.0,377255.0,144.999,0.563,0.118,0,0.736,0.0375,-6.224,11.0,1.0,0.74,0.386
